linkname,coefficient,coefficient_from_ocr,p_value,significance_level,highway,latitude,longitude,road_name,name,Link ID,Number of lanes,Speed limit (mph),Average speed (mph),Average delay (spvpm),Reliability (spvpm),Average daily flow,Length (m),Total delay (vhd),Road number,Road class,Direction,Link location,Start Width,End Width,match_method
199042501,-0.0013330451,-0.0172144,0.0,***,M11,52.1616849788279,0.101674541976993,M11/6821L,MIDAS site at M11/6821L priority 1 on link 199042501; GPS Ref: 543852;253571; Southbound,,2.180722891566265,70.0,60.50203614457831,8.610837349397592,3.026078313253012,31166.66265060241,3604.7709638554215,76.94753012048193,,,,,,,highway_mean
199045301,-0.0037506816,19214.0,0.0,***,A1M,52.4461743451009,-0.275955742014231,A1M/2153L,MIDAS site at A1M/2153L priority 1 on link 199045301; GPS Ref: 517271;284530; Southbound,,2.618279569892473,70.0,65.05325806451613,4.539043010752688,1.7346397849462367,27270.68817204301,2373.9194623655917,38.41065053763441,,,,,,,highway_mean
199046401,-0.013592794,85476.0,0.0,***,A1M,52.427992233177,-0.270281521737101,A1M/2133J,MIDAS site at A1M/2133J priority 1 on link 199046401; GPS Ref: 517705;282517; Northbound,,2.618279569892473,70.0,65.05325806451613,4.539043010752688,1.7346397849462367,27270.68817204301,2373.9194623655917,38.41065053763441,,,,,,,highway_mean
199046501,-0.0047493633,42476.0,0.0,***,M11,52.1929724155824,0.075540694153952,M11/6863L,MIDAS site at M11/6863L priority 1 on link 199046501; GPS Ref: 541965;256999; Southbound,,2.180722891566265,70.0,60.50203614457831,8.610837349397592,3.026078313253012,31166.66265060241,3604.7709638554215,76.94753012048193,,,,,,,highway_mean
199046603,0.0036268302,16632.0,0.0,***,A1M,52.3710652268835,-0.25299785097795,A1M/2067A,MIDAS site at A1M/2067A priority 1 on link 199046603; GPS Ref: 519033;276214; Northbound,199046603,3.0,70.0,66.6664,2.7497999999999996,1.1246,31439.6,3030.75,24.055,A1(M),"Motorway, dual 3 lanes",Northbound,A1(M) northbound between A1 and J14,,,exact_link_id
199046801,0.0057890746,27555.0,0.0,***,A1M,52.4130856460549,-0.266041803791767,A1M/2115B,MIDAS site at A1M/2115B priority 1 on link 199046801; GPS Ref: 518033;280866; Southbound,199046801,4.0,70.0,66.5,2.9634,1.1878,35735.8,5607.83,29.913199999999996,A1(M),"Motorway, dual 4 or more lanes",Southbound,A1(M) southbound between J15 and J14,,,exact_link_id
199047001,-0.0062044817,88053.0,0.0,***,A1M,52.4300396349521,-0.271334011951076,A1M/2135K,MIDAS site at A1M/2135K priority 1 on link 199047001; GPS Ref: 517628;282743; Northbound,,2.618279569892473,70.0,65.05325806451613,4.539043010752688,1.7346397849462367,27270.68817204301,2373.9194623655917,38.41065053763441,,,,,,,highway_mean
199047002,0.0058790934,54455.0,0.0,***,A1M,52.4300830180553,-0.270611554668042,A1M/2134A,MIDAS site at A1M/2134A priority 1 on link 199047002; GPS Ref: 517677;282749; Northbound,199047002,4.0,70.0,66.2994,3.2963999999999998,1.226,35278.4,730.96,33.0364,A1(M),"Motorway, dual 4 or more lanes",Northbound,A1(M) northbound within J15,,,exact_link_id
199047101,-0.013091717,80674.0,0.0,***,A1M,52.4324763176004,-0.270723835514689,A1M/2137M,MIDAS site at A1M/2137M priority 1 on link 199047101; GPS Ref: 517663;283015; Southbound,,2.618279569892473,70.0,65.05325806451613,4.539043010752688,1.7346397849462367,27270.68817204301,2373.9194623655917,38.41065053763441,,,,,,,highway_mean
199047102,0.0067368317,66946.0,0.0,***,A1M,52.4396236320538,-0.273754402311597,A1M/2145B,MIDAS site at A1M/2145B priority 1 on link 199047102; GPS Ref: 517438;283805; Southbound,199047102,4.0,70.0,65.3942,4.096,1.3376000000000001,33457.2,2035.05,39.9934,A1(M),"Motorway, dual 4 or more lanes",Southbound,A1(M) southbound within J15,,,exact_link_id
