feature,coefficient,std_err,z_value,p_value,conf_int_lower,conf_int_upper
link_106031101,0.298271088763723,,,,,
link_106063401,0.0177379176160821,,,,,
link_106063402,0.0804055547439796,,,,,
link_106063501,0.3429479872442764,,,,,
link_124000101,0.3721906231639059,,,,,
link_124000202,-0.0827911411750145,,,,,
link_124000205,0.3505800102392443,,,,,
link_124000301,0.0191874197220996,,,,,
link_126017201,0.3474864926373267,,,,,
link_126046001,0.3806623397368291,,,,,
link_126046101,0.2782421948405582,,,,,
link_199033002,0.3450185451810443,,,,,
link_199034401,0.2016802907611752,,,,,
link_199034501,0.1568225349396043,,,,,
link_199034803,0.2828417664906905,,,,,
link_199041401,-0.3037760199533247,,,,,
link_199041501,0.0654260999457093,,,,,
link_199041701,-0.0001176217181525,,,,,
link_199042001,-0.4214512016399386,,,,,
link_199042501,-0.0796683308395173,,,,,
link_199045301,0.0628486252606291,,,,,
link_199046401,-0.4056284289344726,,,,,
link_199046501,-0.0364935740252334,,,,,
link_199046603,0.3739153708295891,,,,,
link_199046801,0.3747160010850229,,,,,
link_199047001,-0.1471521700390455,,,,,
link_199047002,0.3549860677338491,,,,,
link_199047101,-0.3639742033761619,,,,,
link_199047102,0.3766376774828533,,,,,
link_199047201,0.3830849401884971,,,,,
link_199047401,0.0918700076230229,,,,,
link_199047402,0.3443621210954593,,,,,
link_199047501,0.0923064779021232,,,,,
link_199047502,0.3644825399000702,,,,,
link_199047601,0.3815576996989339,,,,,
link_199047701,0.355519462920203,,,,,
link_199047801,0.1904452395976197,,,,,
link_199047902,0.0406486538176009,,,,,
link_199047903,0.3314321273345286,,,,,
link_199048001,0.3540047232846812,,,,,
link_199049001,0.0488717795465477,,,,,
link_199049002,0.3362983921802175,,,,,
link_199049101,0.3150258111860483,,,,,
link_199049201,0.0019260936063304,,,,,
link_199049202,0.3318350895752505,,,,,
link_199049401,-0.2023054832336973,,,,,
link_199049402,0.2650708771285651,,,,,
link_199049601,0.0514591767134175,,,,,
link_199049602,0.2956899561452357,,,,,
link_199049701,-0.0375721768936277,,,,,
link_199049702,0.315015395963666,,,,,
link_199050001,-0.1546204442185946,,,,,
link_199050002,0.3073900252920948,,,,,
link_199050202,0.328471619753232,,,,,
link_199050301,0.343176510862973,,,,,
link_199050901,0.2704101739263586,,,,,
link_199051201,0.2348449619986382,,,,,
link_199136901,0.4749018551585601,,,,,
link_199136902,-0.021432942518646,,,,,
link_199137001,0.4298606370648029,,,,,
link_199137002,-0.1356426460929102,,,,,
link_199137201,0.4285001456043333,,,,,
link_199137301,0.0793065751113248,,,,,
link_199137501,0.0801546672316621,,,,,
link_200129666,0.3192167346175935,,,,,
link_200129667,0.33415990440052,,,,,
link_200129668,0.34629119763721,,,,,
link_200129669,0.302242951710941,,,,,
link_200129681,0.34668995671984,,,,,
link_200129688,0.3503914510354084,,,,,
link_200129689,0.0388783546010937,,,,,
link_200129692,0.3647455948729536,,,,,
link_200129693,-0.0733393639062117,,,,,
link_200129695,0.0142374425284271,,,,,
link_200129696,0.1800815934750116,,,,,
link_200129697,0.4117849362430293,,,,,
link_200129698,0.2022655252490748,,,,,
link_200129699,0.3925536189732408,,,,,
link_200129700,0.0994457784832436,,,,,
link_200129704,0.4306280938194233,,,,,
link_200129705,0.1361347597775054,,,,,
link_200129707,-0.0389969889905116,,,,,
link_200129708,0.0518333006220136,,,,,
link_200129709,0.3725749002928428,,,,,
link_200129714,0.3659088771586649,,,,,
link_200129715,0.2009536327663149,,,,,
link_200129716,0.3436425507692311,,,,,
link_200129718,0.3610945696333885,,,,,
link_200129719,0.3616238855341606,,,,,
link_200129720,0.1356329623781997,,,,,
link_200129722,0.3511020874336116,,,,,
link_200129723,0.3795933546626069,,,,,
link_200129724,0.3691162127146641,,,,,
link_200129725,0.2749824692941128,,,,,
link_200129726,0.3458863299927509,,,,,
link_200129728,0.0211376129813751,,,,,
link_200129730,0.2912484512961081,,,,,
link_200129745,0.2890409018956054,,,,,
link_200129746,-0.1493115051512432,,,,,
link_200129747,-0.3939394308188641,,,,,
link_200129826,0.3508906493879438,,,,,
link_200129827,0.0721984660186957,,,,,
link_200129835,-0.6228109251302992,,,,,
link_200129836,0.3139339365429561,,,,,
link_200129956,0.2816635630821313,,,,,
link_200130046,0.3928539566991307,,,,,
link_200130047,0.1191839320571494,,,,,
link_200130048,0.3677024528075527,,,,,
link_200130049,0.1497635260135074,,,,,
link_200130073,0.3734630485583867,,,,,
link_200130074,0.4073639479987735,,,,,
